CO_REGIAO;CO_UF;CO_MUNICIPIO;IN_CAPITAL;TP_DIMENSAO;TP_ORGANIZACAO_ACADEMICA;TP_CATEGORIA_ADMINISTRATIVA;TP_REDE;CO_CURSO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;TX_EVASAO;FEAT_RATIO_CANDIDATO_VAGA;FEAT_TAXA_OCUPACAO_VAGAS;FEAT_PCT_ING_FEM;FEAT_IDADE_MEDIA_ING;FEAT_PCT_ING_JOVEM;FEAT_PCT_ING_IDOSO;FEAT_PCT_ING_PRETA_PARDA;FEAT_PCT_ING_BRANCA;FEAT_INDICE_DIVERSIDADE;FEAT_PCT_ING_DEFICIENTE;FEAT_PCT_ING_RESERVA_SOCIAL;FEAT_PCT_ING_FINANC;FEAT_PCT_ING_COM_FIES;FEAT_PCT_ING_PROUNI;FEAT_PCT_VG_EAD;FEAT_PCT_VG_NOTURNO;FEAT_DOMINANCIA_MODALIDADE;FEAT_REGIAO_NORTE_NORDESTE;FEAT_PUBLICA;ANO_BASE;IN_COMUNITARIA;IN_CONFESSIONAL;QT_ING_RVPPI;QT_ING_RVQUILO;QT_ING_RVREFU;QT_ING_RVPOVT;QT_ING_RVIDOSO;QT_ING_RVINTERN;QT_ING_RVMEDAL;QT_ING_RVTRANS;QT_MAT_RVPPI;QT_MAT_RVQUILO;QT_MAT_RVREFU;QT_MAT_RVPOVT;QT_MAT_RVIDOSO;QT_MAT_RVINTERN;QT_MAT_RVMEDAL;QT_MAT_RVTRANS;QT_CONC_RVPPI;QT_CONC_RVQUILO;QT_CONC_RVREFU;QT_CONC_RVPOVT;QT_CONC_RVIDOSO;QT_CONC_RVINTERN;QT_CONC_RVMEDAL;QT_CONC_RVTRANS
0;0;0;0;4;1;4;2;100307;"""0115L15""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;11;4;0;0;15;13;3;0;0;0;0;0;0;0;0;0;7;1;2;2;2;0;1;7;0;1;1;0;6;16;13;3;0;0;0;5;2;2;2;2;2;1;9;0;1;4;0;2;3;3;0;0;0;0;0;1;0;1;0;1;0;2;0;0;1;0;0;15;0;15;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;6;0;10;6;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0;0.0;0.7333333333333333;31.133333333333333;0.4666666666666667;0.06666666666666667;0.06666666666666667;0.4666666666666667;0.7733333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;4;2;4;2;1575905;"""0115L04""";01;011;0115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;37;5;0;0;28;28;0;0;0;0;0;0;14;0;0;0;8;4;7;9;10;4;0;3;2;1;0;0;36;17;16;1;0;0;0;2;1;3;4;5;2;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11;0;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21428571428571427;0.0;0.0;0.8809523809523809;35.785714285714285;0.19047619047619047;0.09523809523809523;0.07142857142857142;0.07142857142857142;0.9920634920634921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;DIURNO;0;0;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;1349598;"""0115L18""";01;011;0115;2;1;1;1;1;41;41;0;0;40;0;1;0;229;229;0;0;228;0;1;0;30;22;8;30;0;28;28;0;0;0;0;0;0;1;0;1;0;8;6;4;4;5;2;1;13;2;15;0;0;0;120;88;32;120;0;0;35;39;13;12;11;8;2;22;9;89;0;0;0;11;7;4;11;0;0;3;2;2;1;0;2;1;2;1;8;0;0;0;30;0;120;0;11;0;27;2;25;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;3;1;2;0;53;43;27;8;18;0;4;3;2;0;1;0;27;3;0;96;24;0;11;0;0;0;0;0;0;49;9;44;2;41;6;40;3;0;0;0;0;1.5333333333333334;5.585365853658536;0.7317073170731707;0.7333333333333333;33.53333333333333;0.26666666666666666;0.1;0.5666666666666667;0.43333333333333335;0.5577777777777777;0.06666666666666667;1.3333333333333333;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;20551;"""0115L06""";01;011;0115;2;1;1;1;1;83;0;83;0;56;0;27;0;83;0;83;0;56;0;27;0;41;16;25;0;41;34;7;19;8;0;0;0;0;7;0;0;0;28;8;1;2;2;0;0;15;4;22;0;0;0;211;112;99;0;211;0;122;64;12;6;4;1;2;58;14;132;7;0;0;31;19;12;0;31;0;10;18;2;1;0;0;0;7;1;21;2;0;0;41;0;210;1;31;0;5;2;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;7;1;4;0;76;63;47;1;27;0;13;13;7;0;4;0;37;4;0;165;46;0;23;8;0;0;0;0;0;39;5;33;5;55;1;53;9;0;0;0;0;1.2926829268292683;1.0;0.4939759036144578;0.3902439024390244;24.390243902439025;0.6829268292682927;0.0;0.6341463414634146;0.36585365853658536;0.5687091017251635;0.04878048780487805;1.3333333333333333;0.0;0.0;0.0;0.0;1.0;NOTURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;166;"""0115L02""";01;011;0115;2;1;1;1;1;75;0;75;0;60;0;15;0;114;0;114;0;49;0;65;0;48;38;10;0;48;27;7;12;8;0;0;0;0;21;0;0;0;31;10;1;1;3;2;0;11;11;26;0;0;0;239;172;67;0;239;0;144;52;14;3;12;13;1;48;26;163;2;0;0;23;20;3;0;23;0;10;8;2;0;1;2;0;4;2;16;1;0;0;48;0;238;1;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;5;0;2;0;87;80;53;0;30;0;15;13;11;0;3;0;45;3;0;187;52;0;17;6;0;0;0;0;0;60;3;54;3;84;9;79;8;0;0;0;0;1.4375;1.52;0.64;0.7916666666666666;25.729166666666668;0.6458333333333334;0.041666666666666664;0.7708333333333334;0.22916666666666666;0.6015625;0.0;1.1111111111111112;0.0;0.0;0.0;0.0;1.0;NOTURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;31378;"""0115L03""";01;011;0115;2;1;1;1;1;30;30;0;0;0;0;30;0;30;30;0;0;0;0;30;0;24;16;8;24;0;0;0;0;0;0;0;0;0;24;0;0;0;14;5;0;1;1;3;0;14;1;9;0;0;0;132;91;41;132;0;0;72;37;5;9;6;3;0;38;11;82;1;0;0;30;22;8;30;0;0;10;13;1;3;3;0;0;9;3;18;0;0;0;24;0;131;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;1;0;58;57;38;0;16;0;14;13;9;0;5;0;21;3;0;104;28;0;21;9;0;0;0;0;0;30;2;29;7;38;11;37;2;0;0;0;0;0.9583333333333334;1.0;0.8;0.6666666666666666;28.166666666666668;0.5833333333333334;0.125;0.4166666666666667;0.5833333333333334;0.517361111111111;0.0;1.1666666666666667;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;29693;"""0115L04""";01;011;0115;2;1;1;1;1;86;86;0;0;0;0;43;43;86;86;0;0;0;0;43;43;42;34;8;42;0;0;0;0;0;0;0;0;0;42;0;0;0;38;2;0;0;2;0;0;20;7;15;0;0;0;218;154;64;218;0;0;169;33;6;2;7;1;0;58;17;140;0;3;0;20;17;3;20;0;0;11;8;0;0;0;1;0;8;0;12;0;0;0;42;0;218;0;20;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;21;11;0;9;0;123;106;69;0;44;0;7;7;4;0;3;0;41;1;0;159;59;0;8;12;0;0;0;0;0;61;9;59;2;80;5;77;5;0;0;0;0;0.6190476190476191;1.0;0.4883720930232558;0.8095238095238095;22.428571428571427;0.9047619047619048;0.0;0.5238095238095238;0.47619047619047616;0.6179138321995465;0.0;1.3043478260869565;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;162;"""0115L13""";01;011;0115;2;1;1;1;1;231;0;231;0;80;0;151;0;265;0;265;0;114;0;151;0;83;50;33;0;83;51;15;27;9;0;0;0;0;31;0;1;0;40;21;10;6;5;1;0;32;9;42;0;0;0;431;297;134;0;431;0;226;128;31;20;18;6;2;126;36;266;2;1;0;47;34;13;0;47;0;11;24;4;3;4;1;0;16;4;26;1;0;0;83;0;431;0;47;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;5;0;6;0;151;132;94;1;59;0;8;7;5;0;2;0;75;8;0;313;118;0;28;19;0;0;0;0;0;91;8;81;9;126;6;123;9;0;0;0;0;1.4216867469879517;1.147186147186147;0.3593073593073593;0.6024096385542169;26.85542168674699;0.4819277108433735;0.012048192771084338;0.6144578313253012;0.3855421686746988;0.5835389751778197;0.0;1.2857142857142858;0.0;0.0;0.0;0.0;1.0;NOTURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;1;1;44377;"""0115L13""";01;011;0115;2;1;1;1;1;65;65;0;0;60;0;5;0;85;85;0;0;80;0;5;0;39;31;8;39;0;34;9;14;11;0;0;0;0;5;0;0;0;28;5;1;0;1;3;1;13;4;22;0;0;0;205;166;39;205;0;0;152;31;10;6;1;4;1;51;14;137;1;2;0;27;22;5;27;0;0;15;9;0;3;0;0;0;8;3;15;1;0;0;39;0;205;0;27;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;14;8;0;6;0;95;83;57;0;27;0;10;9;5;0;2;0;38;1;0;141;64;0;17;10;0;0;0;0;0;42;7;41;2;57;2;57;8;0;0;0;0;1.5384615384615385;1.3076923076923077;0.6;0.7948717948717948;26.41025641025641;0.717948717948718;0.10256410256410256;0.6666666666666666;0.3333333333333333;0.5601577909270217;0.0;1.3333333333333333;0.0;0.0;0.0;0.0;0.0;DIURNO;0;1;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
5;53;5300108;1;1;1;5;2;39656;"""0115L13""";01;011;0115;2;0;1;1;1;120;60;60;0;60;0;60;0;176;0;176;0;176;0;0;0;34;27;7;0;34;34;2;32;0;0;0;0;0;0;0;0;0;15;7;7;2;3;0;0;1;2;6;2;0;23;33;26;7;0;33;0;15;6;7;2;3;0;0;1;2;6;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;7;0;26;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14705882352941177;1.4666666666666666;0.2833333333333333;0.7941176470588235;27.558823529411764;0.4411764705882353;0.0;0.23529411764705882;0.029411764705882353;0.9610726643598616;0.0;0.0;0.0;0.0;0.0;0.0;0.5;DIURNO;0;0;2022;;;;;;;;;;;;;;;;;;;;;;;;;;
