Feature;Importance;Arquivo
QT_CONC_NACBRAS;0.0762;mega_dataset_filtrado.csv
QT_CONC;0.0711;mega_dataset_filtrado.csv
FEAT_PCT_ING_FINANC;0.0288;mega_dataset_filtrado.csv
ANO_BASE;0.0277;mega_dataset_filtrado.csv
FEAT_PCT_ING_BRANCA;0.0233;mega_dataset_filtrado.csv
QT_ING_VESTIBULAR;0.0212;mega_dataset_filtrado.csv
CO_UF;0.0193;mega_dataset_filtrado.csv
QT_ING_VG_NOVA;0.0177;mega_dataset_filtrado.csv
FEAT_PCT_ING_JOVEM;0.0162;mega_dataset_filtrado.csv
FEAT_PCT_ING_PRETA_PARDA;0.0158;mega_dataset_filtrado.csv
QT_MAT_CORND;0.0154;mega_dataset_filtrado.csv
FEAT_INDICE_DIVERSIDADE;0.0152;mega_dataset_filtrado.csv
QT_ING_ENEM;0.0148;mega_dataset_filtrado.csv
QT_ING_VG_REMANESC;0.0145;mega_dataset_filtrado.csv
FEAT_PCT_ING_FEM;0.0143;mega_dataset_filtrado.csv
QT_MAT_PROCESCPRIVADA;0.0141;mega_dataset_filtrado.csv
QT_MAT_BRANCA;0.0133;mega_dataset_filtrado.csv
QT_MAT_NRPFIES;0.013;mega_dataset_filtrado.csv
FEAT_IDADE_MEDIA_ING;0.0129;mega_dataset_filtrado.csv
QT_ING_PROCESCPUBLICA;0.012;mega_dataset_filtrado.csv
TP_ORGANIZACAO_ACADEMICA;0.0113;mega_dataset_filtrado.csv
QT_ING_PROCESCPRIVADA;0.0106;mega_dataset_filtrado.csv
QT_ING_FEM;0.0099;mega_dataset_filtrado.csv
QT_MAT_MASC;0.0099;mega_dataset_filtrado.csv
QT_MAT_PROCESCPUBLICA;0.0097;mega_dataset_filtrado.csv
QT_MAT_FEM;0.0095;mega_dataset_filtrado.csv
QT_MAT_18_24;0.0094;mega_dataset_filtrado.csv
CO_CINE_ROTULO;0.0092;mega_dataset_filtrado.csv
QT_MAT_PARDA;0.0091;mega_dataset_filtrado.csv
IN_GRATUITO;0.009;mega_dataset_filtrado.csv
QT_ING_PARDA;0.0089;mega_dataset_filtrado.csv
QT_ING_18_24;0.0082;mega_dataset_filtrado.csv
FEAT_TAXA_OCUPACAO_VAGAS;0.0082;mega_dataset_filtrado.csv
FEAT_PCT_ING_IDOSO;0.0082;mega_dataset_filtrado.csv
QT_ING_30_34;0.0081;mega_dataset_filtrado.csv
QT_MAT_30_34;0.008;mega_dataset_filtrado.csv
IN_CAPITAL;0.0076;mega_dataset_filtrado.csv
QT_MAT_40_49;0.0075;mega_dataset_filtrado.csv
QT_VG_NOVA;0.0073;mega_dataset_filtrado.csv
QT_CONC_40_49;0.0072;mega_dataset_filtrado.csv
QT_MAT_25_29;0.0071;mega_dataset_filtrado.csv
QT_MAT_FINANC;0.0069;mega_dataset_filtrado.csv
QT_CONC_PARDA;0.0068;mega_dataset_filtrado.csv
QT_MAT_35_39;0.0067;mega_dataset_filtrado.csv
QT_ATIV_EXTRACURRICULAR;0.0067;mega_dataset_filtrado.csv
FEAT_PCT_ING_RESERVA_SOCIAL;0.0065;mega_dataset_filtrado.csv
QT_MAT_PRETA;0.0065;mega_dataset_filtrado.csv
QT_ING_MASC;0.0063;mega_dataset_filtrado.csv
QT_ING_BRANCA;0.0063;mega_dataset_filtrado.csv
QT_ING_40_49;0.0062;mega_dataset_filtrado.csv
QT_ING_SELECAO_SIMPLIFICA;0.0062;mega_dataset_filtrado.csv
QT_CONC_PROCESCPUBLICA;0.0062;mega_dataset_filtrado.csv
QT_ING_35_39;0.0062;mega_dataset_filtrado.csv
QT_MAT_FINANC_NREEMB;0.006;mega_dataset_filtrado.csv
QT_ING;0.0059;mega_dataset_filtrado.csv
QT_MAT;0.0059;mega_dataset_filtrado.csv
QT_MAT_NACBRAS;0.0058;mega_dataset_filtrado.csv
