CO_REGIAO;CO_UF;CO_MUNICIPIO;IN_CAPITAL;TP_DIMENSAO;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;IN_COMUNITARIA;IN_CONFESSIONAL;CO_CURSO;CO_CINE_ROTULO;CO_CINE_AREA_GERAL;CO_CINE_AREA_ESPECIFICA;CO_CINE_AREA_DETALHADA;TP_GRAU_ACADEMICO;IN_GRATUITO;TP_MODALIDADE_ENSINO;TP_NIVEL_ACADEMICO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;TX_EVASAO;ANO_BASE
;;;;4;2;2;4;0;0;1575905;"""0115L04""";1;11;115;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;24;3;0;0;14;14;0;0;0;0;0;0;13;0;0;0;7;9;1;4;5;1;0;2;1;3;1;1;19;21;19;2;0;0;0;5;4;1;5;4;2;0;0;1;1;1;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;10;0;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;2023
5;53;5300108;1;1;1;1;1;0;0;1349598;"""0115L18""";1;11;115;2;1;1;1;1;54;54;0;0;50;0;2;2;100;100;0;0;85;0;8;7;37;29;8;37;0;35;35;0;0;0;0;0;0;2;0;0;0;21;7;3;2;2;2;0;28;2;7;0;0;0;132;96;36;132;0;0;47;41;11;14;9;9;1;43;9;80;0;0;0;20;14;6;20;0;0;4;7;2;5;2;0;0;5;0;15;0;0;0;37;0;132;0;20;0;13;2;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3;1;2;0;52;40;19;4;18;4;11;7;2;1;3;2;9;28;0;85;47;0;18;2;0;0;0;0;0;56;11;55;5;44;8;43;7;0;0;0;0;0.40540540540540543;2023
5;53;5300108;1;1;1;1;1;0;0;20551;"""0115L06""";1;11;115;2;1;1;1;1;71;0;71;0;56;0;15;0;88;0;88;0;55;0;33;0;42;19;23;0;42;30;9;17;4;0;0;0;0;12;0;0;0;18;12;3;5;2;2;0;21;3;16;2;0;0;181;99;82;0;181;0;101;56;12;8;2;1;1;56;14;106;4;1;0;18;13;5;0;18;0;8;9;1;0;0;0;0;6;3;8;1;0;0;42;0;179;2;18;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;1;0;58;43;30;1;17;0;7;4;5;0;1;0;23;19;0;136;45;0;10;8;0;0;0;0;0;31;1;29;2;83;3;77;12;3;0;3;0;0.9761904761904762;2023
5;53;5300108;1;1;1;1;1;0;0;166;"""0115L02""";1;11;115;2;1;1;1;1;83;0;83;0;60;0;23;0;93;0;93;0;58;0;35;0;52;35;17;0;52;32;7;18;7;0;0;0;0;20;0;0;0;30;14;3;4;1;0;0;22;6;24;0;0;0;224;156;68;0;224;0;120;56;21;5;9;11;2;58;17;148;1;0;0;25;17;8;0;25;0;11;5;3;0;2;4;0;7;2;16;0;0;0;52;0;224;0;25;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;9;4;0;7;0;81;69;31;0;30;0;8;8;3;0;4;0;34;18;0;173;51;0;23;2;0;0;0;0;0;55;9;51;5;99;6;97;15;1;0;1;0;0.6923076923076923;2023
5;53;5300108;1;1;1;1;1;0;0;29693;"""0115L04""";1;11;115;2;1;1;1;1;38;38;0;0;0;0;38;0;100;100;0;0;0;0;100;0;14;11;3;14;0;0;0;0;0;0;0;0;0;14;0;0;0;6;6;1;1;0;0;0;6;0;8;0;0;0;154;97;57;154;0;0;113;28;7;2;4;0;0;33;10;109;0;2;0;38;23;15;38;0;0;28;7;1;1;1;0;0;11;4;23;0;0;0;14;0;154;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;2;0;5;0;90;77;41;0;34;0;24;20;15;0;6;0;10;4;0;112;42;0;24;14;0;0;0;0;0;41;4;37;8;79;3;78;18;1;0;1;0;1.2857142857142858;2023
5;53;5300108;1;1;1;1;1;0;0;162;"""0115L13""";1;11;115;2;1;1;1;1;134;0;134;0;80;0;54;0;169;0;169;0;104;0;65;0;86;55;31;0;86;41;6;24;11;0;0;0;0;45;0;0;0;46;17;11;5;5;2;0;34;13;39;0;0;0;413;287;126;0;413;0;208;128;35;15;19;6;2;127;39;246;0;1;0;61;49;12;0;61;0;32;21;4;2;2;0;0;22;5;34;0;0;0;86;0;413;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;14;9;0;8;0;156;134;66;0;59;0;28;26;8;0;15;0;61;25;0;298;115;0;41;20;0;0;0;0;0;78;11;73;11;129;14;122;17;0;0;0;0;0.5930232558139535;2023
5;53;5300108;1;1;1;1;1;0;0;34644;"""0115L13""";1;11;115;2;1;1;1;1;30;30;0;0;0;0;30;0;36;36;0;0;0;0;36;0;17;14;3;17;0;0;0;0;0;0;0;0;0;17;0;0;0;8;5;2;0;2;0;0;5;3;9;0;0;0;205;169;36;205;0;0;156;37;6;1;3;1;1;50;25;129;0;1;0;48;36;12;48;0;0;31;14;2;0;1;0;0;20;3;25;0;0;0;17;0;203;2;46;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;0;1;0;101;87;53;2;34;0;23;19;11;0;8;0;11;6;0;149;56;0;29;19;0;0;0;0;0;45;1;43;8;96;4;95;17;0;0;0;0;1.0;2023
5;53;5300108;1;1;1;1;1;0;0;44377;"""0115L13""";1;11;115;2;1;1;1;1;65;65;0;0;60;0;5;0;93;93;0;0;85;0;8;0;42;35;7;42;0;37;2;20;15;0;0;0;0;5;0;0;0;34;3;4;0;1;0;0;15;5;22;0;0;0;192;160;32;192;0;0;144;31;8;3;2;3;1;51;14;125;0;2;0;24;22;2;24;0;0;16;7;1;0;0;0;0;7;1;16;0;0;0;42;0;192;0;24;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;3;0;8;0;85;69;39;0;30;0;18;17;9;0;7;0;25;17;0;130;62;0;22;2;0;0;0;0;0;43;7;42;8;131;36;126;16;0;0;0;0;0.6666666666666666;2023
5;53;5300108;1;1;2;2;4;0;0;1454314;"""0115L15""";1;11;115;2;0;1;1;1;150;115;35;0;125;0;25;0;452;255;197;0;232;0;220;0;99;73;26;65;34;74;74;30;0;8;0;0;0;25;0;0;1;85;5;3;1;2;2;0;40;19;36;1;0;3;209;152;57;119;90;1;162;23;10;4;5;3;1;99;36;68;2;0;4;32;21;11;9;23;0;16;9;3;2;0;1;1;12;7;13;0;0;0;99;0;209;0;32;0;5;2;3;0;30;2;2;0;0;28;8;0;1;19;92;2;2;0;0;90;16;0;21;58;15;0;0;0;0;15;3;0;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;16;0;166;43;0;22;10;0;0;0;0;0;0;0;0;0;277;83;202;32;0;0;0;0;0.696969696969697;2023
5;53;5300108;1;1;4;1;1;0;0;1192496;"""0115L02""";1;11;115;2;1;1;1;1;98;98;0;0;80;0;18;0;1206;1206;0;0;1188;0;18;0;59;46;13;59;0;59;0;59;0;0;0;0;0;0;0;0;0;44;8;4;1;2;0;0;17;8;29;1;1;3;144;110;34;144;0;0;90;24;5;3;14;8;0;41;25;67;4;2;5;10;8;2;10;0;0;7;1;0;0;0;2;0;2;2;5;0;0;1;59;0;144;0;10;0;13;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;40;36;19;6;19;0;5;5;2;0;4;0;41;18;0;106;38;0;7;3;0;0;0;0;0;69;17;65;7;0;0;0;0;0;0;0;0;0.5254237288135594;2023
