Feature;Importance;Arquivo
QT_CONC_NACBRAS;0.1039;microdados_filtrado_2023.csv
QT_CONC;0.1017;microdados_filtrado_2023.csv
CO_UF;0.0399;microdados_filtrado_2023.csv
QT_ING_VG_NOVA;0.0398;microdados_filtrado_2023.csv
QT_MAT_BRANCA;0.0288;microdados_filtrado_2023.csv
QT_ING_VESTIBULAR;0.0211;microdados_filtrado_2023.csv
TP_ORGANIZACAO_ACADEMICA;0.0208;microdados_filtrado_2023.csv
QT_MAT_PROCESCPUBLICA;0.0189;microdados_filtrado_2023.csv
QT_MAT_PARDA;0.0181;microdados_filtrado_2023.csv
QT_MAT_CORND;0.0167;microdados_filtrado_2023.csv
QT_ING_PROCESCPUBLICA;0.0152;microdados_filtrado_2023.csv
QT_ING_VG_REMANESC;0.0152;microdados_filtrado_2023.csv
QT_ING_FEM;0.015;microdados_filtrado_2023.csv
QT_MAT_PROCESCPRIVADA;0.0135;microdados_filtrado_2023.csv
QT_ING_PARDA;0.0134;microdados_filtrado_2023.csv
QT_ING_PROCESCPRIVADA;0.0129;microdados_filtrado_2023.csv
QT_ING_BRANCA;0.0128;microdados_filtrado_2023.csv
QT_ING_18_24;0.0119;microdados_filtrado_2023.csv
QT_ING_35_39;0.0114;microdados_filtrado_2023.csv
QT_MAT_18_24;0.0109;microdados_filtrado_2023.csv
QT_MAT_FEM;0.0108;microdados_filtrado_2023.csv
QT_ING_CORND;0.0108;microdados_filtrado_2023.csv
QT_MAT_MASC;0.0104;microdados_filtrado_2023.csv
QT_ING_ENEM;0.0103;microdados_filtrado_2023.csv
QT_MAT_FINANC_NREEMB;0.0102;microdados_filtrado_2023.csv
QT_MAT_40_49;0.0099;microdados_filtrado_2023.csv
QT_ING_30_34;0.0098;microdados_filtrado_2023.csv
CO_CINE_ROTULO;0.0095;microdados_filtrado_2023.csv
QT_ATIV_EXTRACURRICULAR;0.0088;microdados_filtrado_2023.csv
QT_MAT_30_34;0.0084;microdados_filtrado_2023.csv
QT_MAT_35_39;0.0083;microdados_filtrado_2023.csv
QT_ING_SELECAO_SIMPLIFICA;0.0078;microdados_filtrado_2023.csv
QT_CONC_BRANCA;0.0076;microdados_filtrado_2023.csv
QT_ALUNO_DEFICIENTE;0.0075;microdados_filtrado_2023.csv
QT_MAT_50_59;0.0074;microdados_filtrado_2023.csv
QT_MAT_FINANC;0.0073;microdados_filtrado_2023.csv
QT_MAT;0.0072;microdados_filtrado_2023.csv
QT_ING_MASC;0.0072;microdados_filtrado_2023.csv
QT_CONC_PROUNII;0.0069;microdados_filtrado_2023.csv
QT_MAT_PRETA;0.0068;microdados_filtrado_2023.csv
IN_CAPITAL;0.0068;microdados_filtrado_2023.csv
QT_MAT_25_29;0.0067;microdados_filtrado_2023.csv
QT_ING_25_29;0.0067;microdados_filtrado_2023.csv
QT_ING_40_49;0.0066;microdados_filtrado_2023.csv
QT_ING_ATIV_EXTRACURRICULAR;0.0064;microdados_filtrado_2023.csv
QT_ING_AMARELA;0.0063;microdados_filtrado_2023.csv
QT_ING;0.0063;microdados_filtrado_2023.csv
QT_ING_NACBRAS;0.0062;microdados_filtrado_2023.csv
QT_CONC_PARDA;0.0059;microdados_filtrado_2023.csv
QT_CONC_40_49;0.0058;microdados_filtrado_2023.csv
QT_MAT_NRPFIES;0.0058;microdados_filtrado_2023.csv
QT_MAT_DIURNO;0.0057;microdados_filtrado_2023.csv
QT_CONC_PROCESCPUBLICA;0.0056;microdados_filtrado_2023.csv
QT_MAT_NACBRAS;0.0056;microdados_filtrado_2023.csv
QT_MAT_PROUNII;0.0056;microdados_filtrado_2023.csv
QT_ING_PRETA;0.0055;microdados_filtrado_2023.csv
CO_REGIAO;0.0054;microdados_filtrado_2023.csv
QT_CONC_FEM;0.0053;microdados_filtrado_2023.csv
QT_ING_RVOUTROS;0.0051;microdados_filtrado_2023.csv
QT_MAT_RVREDEPUBLICA;0.0051;microdados_filtrado_2023.csv
QT_MAT_ATIV_EXTRACURRICULAR;0.005;microdados_filtrado_2023.csv
QT_MAT_RVSOCIAL_RF;0.0049;microdados_filtrado_2023.csv
QT_MAT_60_MAIS;0.0048;microdados_filtrado_2023.csv
QT_APOIO_SOCIAL;0.0048;microdados_filtrado_2023.csv
QT_ING_FINANC;0.0046;microdados_filtrado_2023.csv
QT_CONC_25_29;0.0045;microdados_filtrado_2023.csv
QT_VG_REMANESC;0.0044;microdados_filtrado_2023.csv
QT_ING_FINANC_NREEMB;0.0041;microdados_filtrado_2023.csv
QT_CONC_MASC;0.0039;microdados_filtrado_2023.csv
QT_CONC_18_24;0.0036;microdados_filtrado_2023.csv
QT_ING_NRPFIES;0.0036;microdados_filtrado_2023.csv
QT_CONC_CORND;0.0036;microdados_filtrado_2023.csv
QT_ING_RESERVA_VAGA;0.0036;microdados_filtrado_2023.csv
QT_CONC_35_39;0.0035;microdados_filtrado_2023.csv
QT_INSC_VG_REMANESC;0.0035;microdados_filtrado_2023.csv
QT_CONC_PROCESCPRIVADA;0.0035;microdados_filtrado_2023.csv
QT_ING_50_59;0.0034;microdados_filtrado_2023.csv
QT_MAT_DEFICIENTE;0.0034;microdados_filtrado_2023.csv
QT_CONC_ATIV_EXTRACURRICULAR;0.0034;microdados_filtrado_2023.csv
QT_MAT_RVOUTROS;0.0032;microdados_filtrado_2023.csv
QT_ING_RVREDEPUBLICA;0.0031;microdados_filtrado_2023.csv
QT_MAT_APOIO_SOCIAL;0.0031;microdados_filtrado_2023.csv
QT_MAT_AMARELA;0.003;microdados_filtrado_2023.csv
QT_CONC_DIURNO;0.003;microdados_filtrado_2023.csv
QT_CONC_30_34;0.003;microdados_filtrado_2023.csv
QT_ING_RVSOCIAL_RF;0.003;microdados_filtrado_2023.csv
TP_CATEGORIA_ADMINISTRATIVA;0.0028;microdados_filtrado_2023.csv
QT_VG_TOTAL;0.0027;microdados_filtrado_2023.csv
QT_INSCRITO_TOTAL_DIURNO;0.0026;microdados_filtrado_2023.csv
QT_CONC_PRETA;0.0026;microdados_filtrado_2023.csv
QT_ING_APOIO_SOCIAL;0.0025;microdados_filtrado_2023.csv
QT_INSCRITO_TOTAL;0.0024;microdados_filtrado_2023.csv
QT_MAT_RESERVA_VAGA;0.0023;microdados_filtrado_2023.csv
QT_MAT_NOTURNO;0.0023;microdados_filtrado_2023.csv
QT_CONC_RVREDEPUBLICA;0.0022;microdados_filtrado_2023.csv
QT_CONC_50_59;0.0022;microdados_filtrado_2023.csv
QT_PARFOR;0.0022;microdados_filtrado_2023.csv
QT_INSC_VG_NOVA;0.0022;microdados_filtrado_2023.csv
QT_CONC_NRPFIES;0.0021;microdados_filtrado_2023.csv
QT_VG_TOTAL_NOTURNO;0.0021;microdados_filtrado_2023.csv
QT_ING_DIURNO;0.0021;microdados_filtrado_2023.csv
QT_VG_TOTAL_DIURNO;0.002;microdados_filtrado_2023.csv
QT_INSCRITO_TOTAL_NOTURNO;0.0018;microdados_filtrado_2023.csv
QT_MAT_INDIGENA;0.0018;microdados_filtrado_2023.csv
QT_MAT_RVETNICO;0.0017;microdados_filtrado_2023.csv
QT_CONC_APOIO_SOCIAL;0.0017;microdados_filtrado_2023.csv
QT_MAT_PROCNAOINFORMADA;0.0016;microdados_filtrado_2023.csv
QT_VG_NOVA;0.0016;microdados_filtrado_2023.csv
QT_ING_RVETNICO;0.0015;microdados_filtrado_2023.csv
QT_CONC_RVETNICO;0.0013;microdados_filtrado_2023.csv
QT_CONC_FINANC_NREEMB;0.0013;microdados_filtrado_2023.csv
QT_ING_DEFICIENTE;0.0013;microdados_filtrado_2023.csv
QT_CONC_FINANC;0.0012;microdados_filtrado_2023.csv
QT_MAT_RVPDEF;0.0012;microdados_filtrado_2023.csv
QT_ING_NOTURNO;0.0012;microdados_filtrado_2023.csv
QT_CONC_RESERVA_VAGA;0.0012;microdados_filtrado_2023.csv
QT_MAT_NACESTRANG;0.0012;microdados_filtrado_2023.csv
QT_CONC_NOTURNO;0.0011;microdados_filtrado_2023.csv
QT_CONC_60_MAIS;0.001;microdados_filtrado_2023.csv
QT_ING_60_MAIS;0.0009;microdados_filtrado_2023.csv
TP_REDE;0.0008;microdados_filtrado_2023.csv
QT_CONC_RVSOCIAL_RF;0.0008;microdados_filtrado_2023.csv
IN_GRATUITO;0.0007;microdados_filtrado_2023.csv
QT_CONC_DEFICIENTE;0.0006;microdados_filtrado_2023.csv
QT_ING_0_17;0.0006;microdados_filtrado_2023.csv
QT_ING_RVPDEF;0.0005;microdados_filtrado_2023.csv
QT_ING_INDIGENA;0.0005;microdados_filtrado_2023.csv
QT_ING_PROUNII;0.0005;microdados_filtrado_2023.csv
QT_CONC_AMARELA;0.0003;microdados_filtrado_2023.csv
QT_INSC_VG_PROG_ESPECIAL;0.0003;microdados_filtrado_2023.csv
